timestamp,anomaly_reason,detected_objects
2025-10-28 17:18:09,Mobile phone detected,"cell phone, sports ball"
2025-10-28 17:18:10,Mobile phone detected,cell phone
2025-10-28 17:18:10,Mobile phone detected,cell phone
2025-10-28 17:18:10,Mobile phone detected,cell phone
2025-10-28 17:18:10,Mobile phone detected,cell phone
2025-10-28 17:18:10,Mobile phone detected,cell phone
2025-10-28 17:18:11,Mobile phone detected,cell phone
2025-10-28 17:18:11,Mobile phone detected,cell phone
2025-10-28 17:18:11,Mobile phone detected,cell phone
2025-10-28 17:18:11,Mobile phone detected,cell phone
2025-10-28 17:18:12,Mobile phone detected,cell phone
2025-10-28 17:18:12,Mobile phone detected,cell phone
2025-10-28 17:18:12,Mobile phone detected,cell phone
2025-10-28 17:18:12,Mobile phone detected,cell phone
2025-10-28 17:18:12,Mobile phone detected,cell phone
2025-10-28 17:18:13,Mobile phone detected,cell phone
2025-10-28 17:18:13,Mobile phone detected,cell phone
2025-10-28 17:18:13,Mobile phone detected,cell phone
2025-10-28 17:18:13,Mobile phone detected,cell phone
2025-10-28 17:18:14,Mobile phone detected,cell phone
2025-10-28 17:18:14,Mobile phone detected,cell phone
2025-10-28 17:18:14,Mobile phone detected,cell phone
2025-10-28 17:18:14,Mobile phone detected,cell phone
2025-10-28 17:18:15,Mobile phone detected,cell phone
2025-10-28 17:18:15,Mobile phone detected,cell phone
2025-10-28 17:18:18,Mobile phone detected,cell phone
2025-10-28 17:18:19,Mobile phone detected,cell phone
2025-10-28 17:18:20,Mobile phone detected,cell phone
2025-10-28 17:18:21,Mobile phone detected,cell phone
2025-10-28 17:18:22,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:24,Mobile phone detected,cell phone
2025-10-28 17:18:24,Mobile phone detected,"cell phone, laptop"
2025-10-28 17:18:24,Mobile phone detected,"cell phone, laptop, keyboard"
2025-10-28 17:18:25,Mobile phone detected,cell phone
2025-10-28 17:18:25,Mobile phone detected,cell phone
2025-10-28 17:18:27,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:28,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:30,Mobile phone detected,cell phone
2025-10-28 17:18:30,Mobile phone detected,cell phone
2025-10-28 17:18:31,Mobile phone detected,cell phone
2025-10-28 17:18:31,Mobile phone detected,cell phone
2025-10-28 17:18:39,Mobile phone detected,"keyboard, keyboard, cell phone"
2025-10-28 17:18:39,Mobile phone detected,"keyboard, cell phone"
2025-10-28 17:18:40,Mobile phone detected,"keyboard, keyboard, cell phone"
2025-10-28 17:18:40,Mobile phone detected,"keyboard, cell phone"
2025-10-28 17:18:40,Mobile phone detected,"keyboard, keyboard, cell phone"
2025-10-28 17:18:40,Mobile phone detected,"keyboard, keyboard, cell phone"
2025-10-28 17:18:41,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:41,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:41,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:41,Mobile phone detected,"laptop, cell phone, keyboard"
2025-10-28 17:18:42,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:42,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:42,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:42,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"laptop, cell phone, microwave, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"laptop, cell phone, microwave, keyboard, keyboard"
2025-10-28 17:18:43,Mobile phone detected,"cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, suitcase, cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:44,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:45,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:45,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:45,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:45,Mobile phone detected,"laptop, cell phone, microwave, keyboard, keyboard"
2025-10-28 17:18:45,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:46,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:46,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:46,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:46,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:46,Mobile phone detected,"cell phone, keyboard, keyboard"
2025-10-28 17:18:47,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:47,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:48,Mobile phone detected,"laptop, cell phone, microwave, keyboard, keyboard"
2025-10-28 17:18:48,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:49,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:49,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:49,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:50,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:50,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:50,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:50,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:50,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:51,Mobile phone detected,"laptop, cell phone, microwave, keyboard, keyboard"
2025-10-28 17:18:51,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:51,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:51,Mobile phone detected,"laptop, cell phone, keyboard, keyboard"
2025-10-28 17:18:51,Mobile phone detected,"laptop, cell phone, keyboard"
2025-10-28 17:18:52,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:52,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:53,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:53,Mobile phone detected,"laptop, cell phone, keyboard"
2025-10-28 17:18:53,Mobile phone detected,"laptop, cell phone, keyboard"
2025-10-28 17:18:54,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:54,Mobile phone detected,"laptop, cell phone"
2025-10-28 17:18:57,Mobile phone detected,"laptop, cell phone, keyboard"
2025-10-28 17:18:57,Mobile phone detected,"laptop, keyboard, cell phone"
2025-10-28 17:18:57,Mobile phone detected,"laptop, cell phone, keyboard"
